doc_id,agency,date,date_precision,location,country,encounter_type,entity_count,entity_height,entity_appearance,entity_clothing,entity_behavior,communication_method,communication_content,claimant_type,claimant_firsthand,document_stance,physical_effects,pages,quote,confidence,summary
aaro-fy24-consolidated-annual-report,All-domain Anomaly Resolution Office,,,Atlantic Ocean off the coast of New York,United States,close-approach,,,,,,none,,pilot-civilian,False,investigated,,12,commercial aircrew reported a near miss with a cylindrical object,medium,A commercial aircrew reported a near miss with a cylindrical object while flying over the Atlantic Ocean off the coast of New York.
aaro-fy25-consolidated-annual-report,All-domain Anomaly Resolution Office,,,Virginia coast,United States,close-approach,,,,,,none,,military,False,investigated,,5,,high,A U.S. Navy report described approximately 100 airborne UAP and two uncrewed surface systems operating off the coast of Virginia.
aaro-historical-record-report-vol1,All-domain Anomaly Resolution Office,1947-06-23,day,"Mount Rainier, Washington",United States,close-approach,,,,,,none,,pilot-civilian,True,investigated,,14,saucer-like aircraft,high,"Kenneth Arnold reported seeing nine large circular objects flying in formation near Mount Rainier, Washington, which he described as saucer-like."
aaro-historical-record-report-vol1,All-domain Anomaly Resolution Office,1990-1999,decade,U.S. military facility,United States,entity-sighted,,,aliens,,,verbal,Scientists discussing the presence of aliens during a materials test.,civilian,True,dismissed,none,29; 31,aliens were present during specialized materials testing,medium,An interviewee claimed that in the 1990s he overheard a conversation between two military bases where scientists claimed aliens were present during a materials test.
aaro-historical-record-report-vol1,All-domain Anomaly Resolution Office,1999,year,unknown,United States,physical-trace,,,,,,verbal,Detailed description of a craft floating in a building and the program details.,civilian,False,dismissed,,29; 32,touched the surface of an extraterrestrial spacecraft,medium,An interviewee claimed a former senior U.S. military officer told him he touched an extraterrestrial spacecraft floating in a building.
aaro-historical-record-report-vol1,All-domain Anomaly Resolution Office,2009,year,foreign country,unknown,close-approach,,,,,,none,,military,True,dismissed,,29,encountered U.S. Special Forces loading containers onto a large extraterrestrial spacecraft,medium,A former U.S. service member claimed to have seen U.S. Special Forces loading containers onto a large extraterrestrial spacecraft in 2009.
aaro-historical-record-report-vol1,All-domain Anomaly Resolution Office,1966-1977,decade,"Malmstrom, Ellsworth, Vandenberg, and Minot USAF bases",United States,physical-trace,,,,,,none,,military,True,investigated,power failure; missile malfunction,30; 33,UAP destroying an ICBM loaded with a dummy warhead,medium,"Former USAF members claimed UAP sightings near ICBM silos and disruptions to operations, including power failures and a claim of a UAP destroying a dummy warhead mid-flight."
hearing-2023-07-26-house-oversight,U.S. House Committee on Oversight and Accountability,2014,year,"Warning Area W-72, off the coast of Virginia Beach",USA,close-approach,1,5 to 15 feet in diameter,dark gray or black cube inside a clear sphere,,,none,,military,True,investigated,radar errors; sensor correlation,14,"The object, described as a dark gray or a black cube inside of a clear sphere, came within 50 feet of the lead aircraft",high,"Two F-18 Super Hornets were split by a UAP described as a dark gray or black cube inside a clear sphere, which came within 50 feet of the lead aircraft."
hearing-2023-07-26-house-oversight,U.S. House Committee on Oversight and Accountability,2004-11-14,day,Off the coast of California,USA,close-approach,1,,"white Tic Tac object, longitudinal axis, no rotors, no wings, no visible control surfaces",,"moving abruptly, rapid acceleration, hovering",none,,military,True,recorded-no-comment,radar jamming; whitewater disturbance,13; 14,saw a white Tic Tac object with a longitudinal axis pointing north south and moving very abruptly over the water like a ping pong ball,high,"A white Tic Tac-shaped object was observed by multiple pilots, performing abrupt maneuvers and rapid acceleration, with no visible propulsion or control surfaces."
hearing-2023-07-26-house-oversight,U.S. House Committee on Oversight and Accountability,2003,year,Vandenberg Air Force Base,USA,close-approach,,,100-yard wide red square,,"hovering, darting off at rapid speeds",none,,civilian,False,recorded-no-comment,,24,observed a very large 100-yard sighted red square approach the base from the ocean and hover at low altitude,medium,"Boeing contractors observed a 100-yard wide red square object hovering over a launch facility, which later approached security guards at high speed."
hearing-2023-07-26-house-oversight,U.S. House Committee on Oversight and Accountability,2023,year,Gulf of Mexico,USA,close-approach,4,,orb,,"diamond formation, disarming sensors",none,,military,True,recorded-no-comment,radar malfunction; FLIR system malfunction,41,saw a sequence of four craft in a clear diamond formation,high,Test pilots observed a diamond formation of four craft over the Gulf of Mexico; one pilot approached an orb-like craft which caused sensor malfunctions.
hearing-2024-11-13-house-oversight,U.S. House Committee on Oversight and Accountability,2015,year,U.S. East Coast,USA,close-approach,,,disc-shaped object,,exhibiting flight and structural characteristics unlike anything in our arsenal,none,,military,True,investigated,near midair collisions,14; 26,"If any of you know what these are, tell me ASAP.",high,"Navy pilots encountered unidentified objects during a 2015 exercise off the U.S. East Coast, leading to near midair collisions and an urgent safety warning."
hearing-2024-11-13-house-oversight,U.S. House Committee on Oversight and Accountability,,decade,Southern California,USA,close-approach,,,aloft object with no observable exhaust or control surfaces,,entered the water from the atmosphere,none,,military,False,recorded-no-comment,transmedium travel,26,saw it enter the water from the atmosphere,medium,"A UAP was observed by watch standers on the USS Omaha off Southern California, exhibiting transmedium travel by entering the water from the atmosphere."
